,feature,corr,rf,xgb,lgb,corr_rank,rf_rank,xgb_rank,lgb_rank,rank
255,产品组合_13.0mean_x,0.028133728973409825,0.00036513978386826327,0.0022798972,39,256.0,299.0,113.0,311.0,979.0
167,居住状态_5,0.03865438596447717,0.00016666271187282727,0.0025773677,25,168.0,382.0,81.0,348.0,979.0
218,收益级别_4sum_x,0.0322623558754403,0.0008107983465514269,0.0014298413,137,219.0,214.0,374.0,174.0,981.0
57,是否提供手机号,0.061344549425356325,0.004035494586305585,0.0007220279,17,58.0,69.0,473.0,384.0,984.0
164,陪同申请人_7.0mean_y,0.03897799320693682,0.00044553738197157966,0.0015575957,94,165.0,277.0,326.0,218.0,986.0
332,客户类型_2mean_x,0.020225914242209,0.0019071628489646933,0.0012564099,353,333.0,138.0,420.0,97.0,988.0
78,贷款用途_23sum_y,0.05520172186366307,0.00022002357963255874,0.0019125976,23,79.0,358.0,196.0,356.0,989.0
222,产品组合_6.0mean_x,0.031766598846901764,0.0007908593536103144,0.0015033682999999998,99,223.0,217.0,344.0,211.0,995.0
185,产品组合_11.0sum_x,0.036164630107590384,0.0006023683813525918,0.0016791426,50,186.0,243.0,279.0,288.0,996.0
328,付款方式_0mean_x,0.0209628086358706,0.0012264178042055735,0.0013362393,363,329.0,170.0,405.0,93.0,997.0
557,历史贷款授信距本次申请时间max_x,0.005170376560742025,0.0021610108785803024,0.0016190317000000002,1395,558.0,127.0,300.0,17.0,1002.0
257,社交圈违约信息2_1,0.027997910085273348,5.6955915790070716e-05,0.003172738,73,258.0,448.0,49.0,248.0,1003.0
211,获客渠道_3mean_y,0.033134399952447664,0.00018061275031240248,0.0026780919,26,212.0,377.0,72.0,343.0,1004.0
74,贷款用途_24sum_y,0.05589800661403547,0.0006872511999812354,0.0015820895999999998,16,75.0,229.0,315.0,388.0,1007.0
205,申请周内日_5mean_y,0.033724421923783984,0.0002582042417543269,0.0019069370999999999,61,206.0,339.0,197.0,265.0,1007.0
413,获客渠道_4mean_x,0.01183775107216536,0.0010484403387364173,0.0015340003,477,414.0,184.0,334.0,78.0,1010.0
253,陪同申请人_7.0sum_x,0.02815786430634455,0.0007740802006890732,0.0013133764000000001,201,254.0,220.0,408.0,135.0,1017.0
85,贷款类型_1sum_y,0.05394677885832591,0.00014295127460976382,0.0026345449,4,86.0,393.0,75.0,464.0,1018.0
361,商品类别_7mean_x,0.01654281718354423,0.0006284786499759976,0.0015681745,299,362.0,235.0,319.0,103.0,1019.0
